Artist and Title,Streams,Daily
The Weeknd - Blinding Lights,4199224447,1892464
Glass Animals - Heat Waves,2933385734,1301203
Dua Lipa - Levitating,2035074612,672766
Bad Bunny - DÁKITI,1945716053,728137
The Weeknd - Save Your Tears,1944191303,1176570
BTS - Dynamite,1846343428,562176
Lauv - I Like Me Better,1759563647,553011
Ed Sheeran - Bad Habits,1729054483,568203
Ava Max - Sweet but Psycho,1642717705,545952
Powfu - death bed (coffee for your head),1631890526,577873
DaBaby - ROCKSTAR,1625890171,295052
Conan Gray - Heather,1625134124,1049682
Trevor Daniel - Falling,1583653441,408552
Ed Sheeran - Shivers,1534174092,763949
The Weeknd - Save Your Tears (Remix),1510234965,889587
Eminem - Godzilla,1419802030,792781
Ariana Grande - positions,1410971548,510332
Cardi B - WAP,1306990732,356627
Internet Money - Lemonade,1305632355,334746
Lil Mosey - Blueberry Faygo,1279214207,405231
Maluma - Hawái,1261285768,555759
Taylor Swift - cardigan,1257473398,1038717
blackbear - hot girl bummer,1253050643,286795
Future - Life Is Good,1224176516,417315
Selena Gomez - Lose You To Love Me,1204023421,395269
Dua Lipa - Break My Heart,1178517612,355215
Joel Corry - Head & Heart,1174502632,378962
Tiësto - The Business,1170981728,367388
Justin Bieber - Intentions,1162854662,330324
Giveon - Heartbreak Anniversary,1122818192,745306
Kali Uchis - telepatía,1116651802,782372
Jawsh 685 - Savage Love (Laxed,1108504624,223150
Pop Smoke - What You Know Bout Love,1106884866,412573
Pop Smoke - For The Night,1105835370,322268
Ariana Grande - Stuck with U,1101386148,420000
Elley Duhé - MIDDLE OF THE NIGHT,1070225917,730139
Jay Wheeler - La Curiosidad,1060190991,867275
Taylor Swift - august,1055214083,974963
SZA - Good Days,1052677779,964249
Drake - Toosie Slide,1049713667,213496
Lady Gaga - Rain On Me,1046692711,290565
BLACKPINK - How You Like That,1016730836,384614
Hoobastank - The Reason,985170678,675354
Bad Bunny - LA NOCHE DE ANOCHE,975951988,324531
Ariana Grande - 34+35,965959918,293084
Disclosure - Talk,960687958,172992
The Weeknd - Heartless,954999007,502941
Drake - Laugh Now Cry Later,950346345,301621
Dua Lipa - Physical,946200963,342882
Juice WRLD - Come & Go,945199570,305602
Ava Max - Kings & Queens,936636875,448525
The Weeknd - In Your Eyes,927694508,306812
Noah Cyrus - July,926427329,1078945
Dua Lipa - Levitating,924705405,377967
The Weeknd - After Hours,915303501,622811
Don Toliver - No Idea,899546116,600458
Bad Bunny - La Santa,891326696,625620
Juice WRLD - Wishing Well,887459195,305030
Lauv - i'm so tired...,879113752,156112
Doja Cat - Boss Bitch,865048597,346965
Bad Bunny - Safaera,857838407,255666
KAROL G - BICHOTA,857022419,273776
Polo G - Martin & Gina,855383632,670994
Conan Gray - Maniac,830034706,326568
Taylor Swift - willow,821234760,482762
J Balvin - UN DIA (ONE DAY),819788546,191624
Jack Harlow - Whats Poppin,808496484,409408
Justin Bieber - Lonely,807685118,261642
Bad Bunny - Si Veo a Tu Mamá,804460804,327717
Billie Eilish - Therefore I Am,790842615,306523
Hotel Ugly - Shut up My Moms Calling,790120197,1551570
Justin Bieber - Yummy,785762557,151090
THE SCOTTS - THE SCOTTS,780353900,221914
Justin Bieber - Holy,779949036,171962
Pop Smoke - Mood Swings,771347591,299656
CJ - Whoopty,769070747,173593
Bad Bunny - A Tu Merced,766435893,275747
Drake - Chicago Freestyle,747932976,353809
Taylor Swift - exile,738444468,408583
Bad Bunny - Yo Perreo Sola,736979017,196659
Jack Harlow - Whats Poppin,734048490,161013
BENEE - Supalonely,733139573,113990
StaySolidRocky - Party Girl,713697220,452569
Bad Bunny - La Difícil,708824320,256324
Jason Derulo - Take You Dancing,708123604,247864
DJ Khaled - POPSTAR,705902481,171109
BTS - Life Goes On,704907851,267027
Bad Bunny - TE MUDASTE,704491169,328075
Don Toliver - After Party,696260023,246703
Jhayco - CÓMO SE SIENTE,693672890,287115
Myke Towers - Bandido,690489867,205615
Chris Brown - Go Crazy,689897043,240366
Playboi Carti - Sky,685804053,558803
mgk - my ex's best friend,673585799,217149
Nio Garcia - La Jeepeta,665126460,168303
Bad Bunny - Ignorantes,664884257,162086
Pink Sweat$ - At My Worst,659980705,240594
Marshmello - Be Kind,657205128,170180
"$uicideboy$ - ...And to Those I Love, Thanks for Sticking Around",656553492,429107
Dua Lipa - Love Again,652828673,256887
Anuel AA - Hasta Que Dios Diga,643033153,337917
Tame Impala - Borderline,642903538,633743
Boza - Hecha Pa' Mi,618168931,237192
21 Savage - Runnin,616393463,773965
Rauw Alejandro - Tattoo,614637534,200251
Sech - Relación,613107906,96367
Shawn Mendes - Monster (Shawn Mendes & Justin Bieber),599629702,159299
THE ANXIETY - Meet Me At Our Spot,599244731,229619
Billie Eilish - No Time To Die,597995218,268787
Ritt Momney - Put Your Records On,594909924,131435
Taylor Swift - champagne problems,594355019,365227
J Balvin - Rojo,593891698,275418
"KAROL G - Ay, DiOs Mío!",591979959,176023
Shawn Mendes - Wonder,587450338,181431
Ozuna - Una Locura,577831657,163888
21 Savage - Glock In My Lap,573357574,634852
Rauw Alejandro - Reloj,572057150,175149
Pop Smoke - Hello,570363446,179606
BLACKPINK - Ice Cream,567651100,158318
Camilo - Vida de Rico,560698983,175196
Taylor Swift - the 1,557912088,299966
Pop Smoke - The Woo,554655357,130156
Manuel Turizo - La Nota,553721125,164106
NLE Choppa - Walk Em Down,552710499,201632
Halsey - You should be sad,552642619,121266
Bad Bunny - Una Vez,550053571,325159
BLACKPINK - Lovesick Girls,548980773,272891
Lil Nas X - HOLIDAY,548087996,92224
Juice WRLD - Righteous,547757840,131073
Jack Harlow - Tyler Herro,546550623,238014
Fujii Kaze - 死ぬのがいいわ,543053303,432004
Pop Smoke - Invincible,537576424,292476
DJ Khaled - GREECE,537559410,165270
The Ronettes - Sleigh Ride,535150784,7368
Brent Faiyaz - Clouded,532628022,674802
Ariana Grande - pov,531609558,218558
Kygo - Lose Somebody,527689163,117735
Black Eyed Peas - GIRL LIKE ME,524430874,117794
Black Eyed Peas - MAMACITA,523677446,87652
Alexander 23 - IDK You Yet,520195709,192119
Diplo - Heartless,516905590,347723
Pop Smoke - Element,513397405,236314
Ava Max - My Head & My Heart,507554684,185318
Ozuna - Caramelo,505155001,70692
Ashnikko - Daisy,502823280,167154
Jonas Brothers - What A Man Gotta Do,500497788,128399
Coyote Theory - This Side of Paradise,499874086,341434
Polo G - 21,493741350,166695
Pop Smoke - Got It On Me,492583188,206830
HVME - Goosebumps,490663488,118677
Trueno - Mamichula,488801162,673405
Sebastian Yatra - Chica Ideal,487555525,195949
Ariana Grande - motive,485657741,216863
Camilo - Favorito,485121855,79149
J Balvin - Azul,484619824,116800
The Kid LAROI - GO,482913650,117071
J Balvin - Morado,481329161,89736
Eslabon Armado - Jugaste y Sufrí,481231917,251965
Morgan Wallen - More Than My Hometown,480905982,385821
King Von - Took Her To The O,474431659,497372
Farruko - La Tóxica,474055125,62300
"Tyler, The Creator - BEST INTEREST",470157321,812912
6ix9ine - GOOBA,466896883,118318
Sech - Relación,465716312,87851
Taylor Swift - my tears ricochet,462821577,357228
Jaymes Young - Happiest Year,460871143,192752
Luke Combs - Forever After All,460442850,267178
Juice WRLD - Smile,459126072,113425
Myke Towers - Diosa,459055153,167665
Manuel Turizo - Quiéreme Mientras Se Pueda,458350778,260686
Ed Sheeran - Afterglow,456671899,114185
BTS - Black Swan,453158470,148360
Billie Eilish - my future,451887075,200180
Beach Bunny - Cloud 9,448093969,303115
Zoe Wees - Control,446774518,259879
BTS - ON,446097030,134741
ROSALÍA - TKN,443153108,98572
Mac Miller - Good News,441886125,135775
Lil Baby - Sum 2 Prove,434088745,237795
Rauw Alejandro - Elegí,434019141,127311
Lele Pons - Se Te Nota,433613977,98621
BTS - Filter,433210519,157524
The Strokes - The Adults Are Talking,430756529,622204
Ofenbach - Head Shoulders Knees & Toes,429145182,206240
Megan Thee Stallion - Savage Remix,426389135,61036
BLACKPINK - Pretty Savage,425088272,241188
Megan Thee Stallion - Savage,423870983,80428
Jerry Di - Mi Cuarto,422374781,125722
Tate McRae - that way,421631347,360777
Grupo Firme - El Tóxico,420307107,253069
Maluma - Parce,419686774,88819
Ozuna - Despeinada,415688227,115981
21 Savage - Rich N*gga Sh*t,415594245,428741
Katy Perry - Swish Swish,415529596,54061
Juice WRLD - Hate The Other Side,414068341,111727
Morgan Wallen - 7 Summers,413257078,337430
Christian Nodal - Aquí Abajo,412507433,244641
AP Dhillon - Excuses,412114954,270946
Eyedress - Romantic Lover,411153764,675904
Tones And I - Fly Away,410408695,217097
Halsey - Graveyard,409931970,64832
Khalid - Know Your Worth,409432496,67098
Lil Baby - We Paid,408829417,195926
Sam Smith - Diamonds,407262948,88307
YNW Melly - Suicidal,406976349,141585
Taylor Swift - mirrorball,405796643,254400
C. Tangana - Demasiadas Mujeres,405703734,321063
Polo G - Go Stupid,405529612,270133
Kane Brown - Be Like That,404921558,100622
Nea - Some Say,400775439,85553
Bad Bunny - Bichiyal,400603637,183003
Regard - Secrets,400258871,95853
Master KG - Jerusalema,399615163,128617
Juice WRLD - Conversations,399414185,186447
DripReport - Skechers,398556393,82885
Wisin - Mi Niña,397982059,76017
King - Tu Aake Dekhle,397328386,269079
Bad Bunny - BOOKER T,395937596,172660
Taylor Swift - illicit affairs,395094100,390176
Tory Lanez - Broke In A Minute,394732582,278179
Chris Stapleton - You Should Probably Leave,394688487,653141
G Herbo - PTSD,394194263,124180
Ali Gatie - What If I Told You That I Love You,393948915,69131
C. Tangana - Tú Me Dejaste De Querer,393584511,209283
Eve - 廻廻奇譚,393512114,242697
Camilo - BEBÉ,392311923,199432
5 Seconds of Summer - Easier,391226244,82877
Blxst - Chosen,390494549,137361
Norah Jones - Come Away With Me,390308138,170743
1nonly - Stay With Me,390079872,193713
Gunna - DOLLAZ ON MY HEAD,384662108,174770
Money Man - 24,384023781,153419
Bad Bunny - HACIENDO QUE ME AMAS,383797905,168831
Ozuna - Caramelo,380979166,232138
Brent Faiyaz - DEAD MAN WALKING,380782271,244346
Taylor Swift - this is me trying,380347120,282584
Big Sean - Wolves,379617722,104407
S1mba - Rover,379415831,110413
TWICE - I CAN'T STOP ME,377372063,167684
Dua Lipa - Fever,375621635,144660
Lady Gaga - Stupid Love,374101564,78090
Joji - Gimme Love,373744709,129729
Bad Bunny - La Zona,372944811,187526
Blueface - Thotiana,372546790,44813
Vedo - You Got It,372417167,127827
Polo G - Flex,371909184,133894
Lee Brice - One Of Them Girls,371577005,227827
Pooh Shiesty - Back in Blood,370011315,230183
Edith Whiskers - Home,368462977,301186
Lil Uzi Vert - Myron,367827723,78668
Justin Quiles - Jeans,366688233,50648
Bad Bunny - 120,366490350,214449
Camilo - La Mitad,365300087,268192
Steve Lacy - Infrunami,362105096,462323
ElyOtto - SugarCrash!,359181736,118007
Lil Baby - On Me,358878743,208297
Lady Gaga - Sour Candy,358499507,97388
ITZY - WANNABE,358333050,167565
JAWNY - Honeypie,357550698,288294
twocolors - Lovefool,355546816,95259
Ozuna - Del Mar,355476452,101687
Taylor Swift - invisible string,355287075,226224
Sara Kays - Remember That Night?,354360308,175176
Taylor Swift - the last great american dynasty,353316017,188485
Shakira - Me Gusta,350348378,85640
Pop Smoke - Get Back,349585556,132143
Dua Lipa - Hallucinate,349522951,123279
Central Cee - Loading,349495824,153275
Luar La L - Caile,349296744,134053
Lil Durk - 3 Headed Goat,348581484,148079
Purple Disco Machine - Hypnotized,346953377,191553
Myke Towers - Girl,346890872,277032
El Fantasma - Cabrón y Vago,346819774,196123
Pritam - Shayad,346441422,283797
Clean Bandit - Tick Tock,346432120,91512
Wiz Khalifa - The Thrill,345968395,366599
Stray Kids - God’s Menu,344192759,225761
J Balvin - Amarillo,342754322,74390
Taylor Swift - betty,342293678,186546
$NOT - GOSHA,341096523,112483
PARTYNEXTDOOR - BELIEVE IT,339900558,67836
Rauw Alejandro - Tattoo,339423641,57247
Reik - Si Me Dices Que Sí,339298613,127328
Mac Miller - Blue World,338609095,156946
Nicky Jam - Muévelo,337959884,52499
Ty Dolla $ign - Spicy,337325221,77536
Lauv - Mean It,336965888,173526
Camilo - El Mismo Aire,335416222,170195
DDG - Moonwalking in Calabasas,333082901,111354
Robin Schulz - In Your Eyes,332272448,76096
347aidan - Dancing in My Room,331677372,80594
salem ilese - Mad at Disney,330495504,115567
mgk - bloody valentine,327466137,91410
Lil Uzi Vert - P2,324566811,49623
Ed Sheeran - Overpass Graffiti,323534456,98857
Megan Thee Stallion - Body,323273393,105265
Madison Beer - Selfish,323182882,81792
Darlene Love - Christmas (Baby Please Come Home),322827051,4880
Aditya A - Chaand Baaliyan,321524702,305555
Selena Gomez - Look At Her Now,316919635,40929
Maluma - Hawái,316624026,53784
Juice WRLD - Life's A Mess,315950016,86462
NAV - Turks,314856160,95441
Migos - Need It,314658194,325362
Bad Bunny - Soliá,313500000,203127
Juice WRLD - Stay High,311847290,143166
Curtis Waters - Stunnin',310594417,46442
Lauv - Who,310436695,118721
"Gracie Abrams - I miss you, I’m sorry",310401755,703323
Lil Tecca - Our Time,308783425,348817
YOASOBI - 群青,308675671,162804
mgk - forget me too,308659024,111394
Eslabon Armado - Con Tus Besos,308442881,112185
Maluma - ADMV,308052095,119384
21 Savage - Mr. Right Now,306128532,123976
Agust D - Daechwita,305686928,160580
CORPSE - E-GIRLS ARE RUINING MY LIFE!,304573570,89577
Chris Stapleton - Starting Over,303830684,330553
G-Eazy - Still Be Friends,303266216,61402
Taylor Swift - tolerate it,302134720,258933
Taylor Swift - seven,301118051,160627
Lauv - Feelings,300676029,64856
Junior H - Se Amerita,300125773,244290
Nadin Amizah - Bertaut,299147638,328589
XXXTENTACION - Riot,298712967,378054
Sam Smith - To Die For,298408779,61080
Christian Nodal - Se Me Olvidó,295605118,117742
Drake - Time Flies,295573585,210240
IU - eight(Prod.&Feat. SUGA of BTS),295239676,128146
Lauv - Never Not,295165784,72558
Future - Drankin N Smokin,293999778,100819
Sigala - Lasting Lover,293880685,76009
Rauw Alejandro - Algo Mágico,293685284,228030
Sleepy Hallow - Deep End Freestyle,293004348,85840
Camilo - Por Primera Vez,291919672,125781
Junior H - Mente Positiva,290571256,177260
