Artist and Title,Streams,Daily
Tones And I - Dance Monkey,3037715382,779338
Shawn Mendes - Señorita,2699599316,809595
Harry Styles - Watermelon Sugar,2638849299,1468831
Dua Lipa - Don't Start Now,2556001369,831226
Billie Eilish - bad guy,2485511719,673025
Post Malone - Circles,2430247873,1111203
Taylor Swift - Cruel Summer,2040338383,3250344
Lewis Capaldi - Before You Go,1878487268,906911
Roddy Ricch - The Box,1872095456,726022
Billie Eilish - when the party's over,1801973524,987837
J Balvin - LA CANCIÓN,1660959219,973384
Post Malone - Wow.,1654179118,588359
Harry Styles - Adore You,1630758513,844113
Billie Eilish - everything i wanted,1582646717,717375
Travis Scott - HIGHEST IN THE ROOM,1582405990,910303
Lil Nas X - Old Town Road,1516630453,250035
KAROL G - Tusa,1482137469,369066
Arizona Zervas - ROXANNE,1463797750,281420
Bad Bunny - Callaita,1424291639,495323
Jonas Brothers - Sucker,1392321835,500369
Ed Sheeran - Beautiful People,1382359782,287187
Taylor Swift - Lover,1357089311,1212268
Jhayco - No Me Conoce,1343569778,551283
Daddy Yankee - Con Calma,1332642987,436135
Sam Smith - Dancing With A Stranger,1326902188,498863
Lil Tecca - Ransom,1325841574,593054
Regard - Ride It,1320529360,632501
J. Cole - MIDDLE CHILD,1263120171,511274
Post Malone - Goodbyes,1248182652,375044
Masked Wolf - Astronaut In The Ocean,1236797376,436151
Chris Brown - Under The Influence,1202312915,1009425
Harry Styles - Falling,1202062736,671626
Doja Cat - Say So,1186526505,295483
Anuel AA - China,1165308404,280868
Duncan Laurence - Arcade,1154529703,627102
BTS - Boy With Luv (Feat. Halsey),1150727316,327700
JP Saxe - If the World Was Ending,1125597751,459261
Topic - Breaking Me,1117637859,263744
Ali Gatie - It's You,1105905933,278520
Pop Smoke - Dior,1050914682,447403
"Dan + Shay - 10,000 Hours",1047215757,277287
Doja Cat - Streets,1030848719,763228
Chris Brown - No Guidance,1017083062,322988
Mabel - Don't Call Me Up,1005558520,266366
Billie Eilish - bury a friend,1004526400,230106
Shawn Mendes - If I Can't Have You,1004280138,258740
Lil Nas X - Old Town Road,1001269566,222072
MEDUZA - Piece Of Your Heart,985099984,264998
Bad Bunny - Vete,980763286,267992
Sam Smith - How Do You Sleep?,965284148,176024
Y2K - Lalala,961254876,160267
Nicky Jam - X,960903475,289198
Khalid - Talk,960687958,172992
Drake - Money In The Grave (Drake ft. Rick Ross),958504913,274583
Black Eyed Peas - RITMO (Bad Boys For Life),952817268,195021
Lunay - Soltera (Remix),949181661,265782
Surfaces - Sunday Best,939684893,266148
"Tyler, The Creator - EARFQUAKE",929890495,697532
Kygo - Higher Love,926546744,465298
MEDUZA - Lose Control,921562588,291373
Juice WRLD - Bandit,913973547,260339
Taylor Swift - You Need To Calm Down,911799835,454844
Billie Eilish - i love you,904469526,582157
Surf Mesa - ily (i love you baby),900691996,257960
