Artists,Tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_popularity,artist_popularity
Olivia Rodrigo,vampire,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,90,86
Gunna,fukumean,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,87,81
Taylor Swift,Lavender Haze,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,80,100
Coi Leray,Players,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,74,69
Jelly Roll,Need A Favor,0.502,0.771,6,-4.246,1,0.032,0.0123,1.82e-05,0.0801,0.557,79,75
Dua Lipa,Dance The Night,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,74,85
Luke Combs,Love You Anyway,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,74,81
Morgan Wallen,One Thing At A Time,0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,66,85
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,85,90
Steve Lacy,Bad Habit,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,77,77
Yng Lvcas,La Bebe - Remix,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,86,67
JVKE,golden hour,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,80,73
Bailey Zimmerman,Religiously,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,80,72
Drake,Spin Bout U,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,79,93
FIFTY FIFTY,Cupid - Twin Ver.,0.792,0.664,2,-5.598,1,0.0333,0.321,0.0,0.283,0.666,79,64
Drake,Search & Rescue,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,78,93
Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,79,83
Jordan Davis,Next Thing You Know,0.557,0.597,5,-8.296,1,0.048,0.646,0.0,0.0974,0.414,70,71
RAYE,Escapism.,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,73,76
Grupo Frontera,un x100to,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,81,81
Stephen Sanchez,Until I Found You,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,80,73
