Artists,Tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_popularity,artist_popularity
Morgan Wallen,Last Night,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,82,85
Miley Cyrus,Flowers,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,91,82
SZA,Kill Bill,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,82,88
Taylor Swift,Anti-Hero,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,89,100
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,87,90
Rema,Calm Down (with Selena Gomez),0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,84,73
The Weeknd,Die For You (with Ariana Grande) - Remix,0.578,0.516,1,-6.518,0,0.0599,0.261,0.0,0.288,0.519,72,92
Luke Combs,Fast Car,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,86,81
SZA,Snooze,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,90,88
David Guetta,I'm Good (Blue),0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,90,85
Sam Smith,Unholy (feat. Kim Petras),0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,81,80
Morgan Wallen,You Proof,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,84,85
Zach Bryan,Something in the Orange,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,89,85
Drake,Rich Flex,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,82,93
Harry Styles,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,91,82
Bailey Zimmerman,Rock and A Hard Place,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,57,72
Chris Brown,Under The Influence,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,85,84
Taylor Swift,Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,96,100
Morgan Wallen,Thinkin’ Bout Me,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,86,85
PinkPantheress,Boy's a liar Pt. 2,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,78,73
Toosii,Favorite Song,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,70,62
Morgan Wallen,Thought You Should Know,0.53,0.678,6,-6.16,1,0.0278,0.506,6.23e-06,0.138,0.508,79,85
Kane Brown,Thank God,0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,74,70
Miguel,Sure Thing,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,86,76
Lil Durk,All My Life (feat. J. Cole),0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,75,78
Eslabon Armado,Ella Baila Sola,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,81,74
Taylor Swift,Karma (feat. Ice Spice),0.615,0.616,8,-6.523,1,0.0622,0.0623,0.0,0.579,0.0734,69,100
Lil Uzi Vert,Just Wanna Rock,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,77,81
Beyoncé,CUFF IT,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,81,88
