Artist and Title,Streams,Daily
Miley Cyrus - Flowers,1934528839,1919864
Jung Kook - Seven,1569301953,2119856
Eslabon Armado - Ella Baila Sola,1175557732,995534
Tate McRae - greedy,1125669398,4354042
Jimin - Like Crazy,1056668267,2306497
David Kushner - Daylight,1056119986,1677380
Doja Cat - Paint The Town Red,996897597,1500096
d4vd - Here With Me,991582030,1137526
Yng Lvcas - La Bebe,987305301,1255496
KAROL G - TQG,984428408,1041004
Grupo Frontera - un x100to,965458199,1006040
Olivia Rodrigo - vampire,926850322,1701657
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",926786435,514086
Mitski - My Love Mine All Mine,884041904,2983719
Myke Towers - LALA,883413138,1091244
The Weeknd - Die For You,866201585,943014
Morgan Wallen - Last Night,853165235,1366738
FIFTY FIFTY - Cupid,836571114,593705
PinkPantheress - Boy's a liar Pt. 2,830259509,533916
Feid - CLASSY 101,819002127,1252606
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",812257120,1893747
Dua Lipa - Dance The Night,807454684,1288164
The Weeknd - One Of The Girls,774128863,3995155
KAROL G - QLONA,771836088,2067143
The Weeknd - Popular,742025690,1722857
Gunna - fukumean,707979038,1129714
Kenya Grace - Strangers,695315264,1128811
Bad Bunny - WHERE SHE GOES,694505987,594592
Quevedo - Columbia,677671378,1051821
Kali Uchis - Moonlight,660552281,988158
Junior H - El Azul,655929396,655336
Dave - Sprinter,654278499,827666
Grupo Frontera - QUE VUELVAS,652095892,764849
NewJeans - OMG,649837631,540297
Peso Pluma - PRC,648696784,493442
Peso Pluma - LADY GAGA,643341872,1006878
ROSALÍA - BESO,626046967,545961
Olly Alexander (Years & Years) - King,624002682,313406
Oliver Tree - Miss You,616355678,330362
Bad Bunny - PERRO NEGRO,609563365,2042120
Jack Harlow - Lovin On Me,598255714,1948676
Teddy Swims - Lose Control,580763383,4186596
Tyla - Water,579064192,2118853
Jung Kook - Standing Next to You,574102908,2115225
Calle 24 - Que Onda,572606196,1474192
KAROL G - AMARGURA,564117294,1669906
Xavi - La Diabla,563707158,2156851
Carin Leon - Primera Cita,541229534,1168697
Zach Bryan - I Remember Everything,538791340,2004430
V - Love Me Again,537173321,1721828
Oscar Maydon - Fin de Semana,536868496,568337
Travis Scott - FE!N,535081722,2919133
cassö - Prada,528655507,1695288
Jung Kook - 3D,519014801,1326200
Maluma - Según Quién,511860686,1846426
NewJeans - Super Shy,510056943,851618
Taiu - Rara Vez,509936459,768529
Chino Pacas - El Gordo Trae El Mando,509906739,661200
Marshmello - El Merengue,487217102,970956
Post Malone - Chemical,473648906,664533
Feid - LUNA,472882484,3168621
Travis Scott - I KNOW ?,470301451,1120917
Luke Combs - Fast Car,467504748,956133
Fuerza Regida - TQM,467406001,578683
Doja Cat - Agora Hills,465798304,1241183
David Guetta - Baby Don’t Hurt Me,463623260,832498
Lana Del Rey - Say Yes To Heaven,463504560,1176636
KAROL G - X SI VOLVEMOS,463361604,707684
Xavi - La Víctima,460472125,1578841
Nicki Minaj - Barbie World,455661284,399040
Fuerza Regida - SABOR FRESA,449451052,1087638
