Artist and Title,Streams,Daily
KAROL G - GATÚBELA,414571890,359752.0
Bad Bunny - Dos Mil 16,412550372,293292.0
Jung Kook - Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],411159527,175085.0
Bad Bunny - Otro Atardecer,410087887,352745.0
Kodak Black - Super Gremlin,407758533,201857.0
Wisin & Yandel - Besos Moja2,407069848,206139.0
Eden Muñoz - Chale,404344347,222716.0
Central Cee - LET GO,403848137,257244.0
Kendrick Lamar - N95,403638770,353463.0
Daddy Yankee - X ÚLTIMA VEZ,403114303,161804.0
Chris Jedi - La Llevo Al Cielo (Ft. Ñengo Flow),402504630,197515.0
Marília Mendonça - Leão,402320546,262423.0
Dxrk ダーク - RAVE,401253150,307554.0
Harry Styles - Music For a Sushi Restaurant,400636253,173382.0
Hotel Ugly - Shut up My Moms Calling,397696494,656903.0
Burna Boy - Last Last,396732131,285078.0
Bailey Zimmerman - Rock and A Hard Place,391201331,475242.0
Anggi Marito - Tak Segampang Itu,389679041,505352.0
Marshmello - Numb,389460840,278031.0
JIN - The Astronaut,387903827,576032.0
IVE - LOVE DIVE,387056734,250514.0
Rauw Alejandro - PUNTO 40,386153612,356378.0
Peso Pluma - Siempre Pendientes,385516652,225548.0
Taylor Swift - Vigilante Shit,384145268,257285.0
Quavo - HOTEL LOBBY (Unc & Phew),383772082,390458.0
The Weeknd - Sacrifice,380897960,149885.0
Grupo Marca Registrada - El Rescate,380507988,273172.0
Future - PUFFIN ON ZOOTIEZ,379659566,435467.0
Jax Jones - Where Did You Go?,378251442,260951.0
SZA - Open Arms,371367020,1082850.0
Rihanna - Lift Me Up,369915570,199369.0
NewJeans - Attention,369442433,359207.0
Alesso - Words,369226027,364598.0
Harry Styles - Daylight,368678483,206718.0
Yuridia - Qué Agonía,366438121,608547.0
Sufjan Stevens - Fourth of July,364208341,410180.0
Gunna - pushin P,362331314,145960.0
Bad Bunny - Yo No Soy Celoso,361567093,205866.0
David Guetta - Crazy What Love Can Do,360913548,226098.0
LiL CaKe - MERCHO,358925297,178470.0
Shubh - No Love,358088868,197457.0
Bad Bunny - Me Fui de Vacaciones,357461620,198683.0
Lasso - Ojos Marrones,355005291,350052.0
Polimá Westcoast - ULTRA SOLO,354751469,124407.0
Ayra Starr - Rush,354314716,389608.0
IVE - After LIKE,354067540,265774.0
Megan Thee Stallion - Sweetest Pie,352601620,155658.0
Harry Styles - Little Freak,351290947,216684.0
Joji - Die For You,349072891,324008.0
Armani White - BILLIE EILISH.,348966219,239650.0
Bad Bunny - Un Verano Sin Ti,347891154,265209.0
Em Beihold - Numb Little Bug,347855340,314577.0
Mora - MEMORIAS,347498270,289519.0
Suki Waterhouse - Good Looking,347399972,781451.0
Kenshi Yonezu - KICK BACK,346622782,300935.0
Florida Georgia Line - Up Down,343705643,191626.0
BLACKPINK - Typa Girl,343688198,341372.0
Junior H - El Hijo Mayor,343524230,314919.0
Drake - Spin Bout U,341771000,375046.0
Shae Gill - Pasoori,340097417,152458.0
BTS - Yet To Come,339820599,107115.0
Bad Bunny - Enséñame a Bailar,338331521,211798.0
Israel & Rodolffo - Bombonzinho,338121343,118919.0
Quevedo - PLAYA DEL INGLÉS,335643808,456186.0
Rex Orange County - THE SHADE,334356001,243929.0
LF SYSTEM - Afraid To Feel,334340443,362031.0
Luis R Conriquez - El Gavilán,333065422,303262.0
Polimá Westcoast - ULTRA SOLO REMIX,332971365,160455.0
Bad Bunny - Aguacero,332425812,219694.0
Gustavo Mioto - Eu Gosto Assim,332190231,134341.0
Taylor Swift - Mastermind,332130607,221877.0
NLE Choppa - SLUT ME OUT,330020131,512397.0
Hugo & Guilherme - Mal Feito,328952843,113917.0
Lizzo - 2 Be Loved (Am I Ready),327917484,176824.0
Alejo - Pantysito,324851031,153065.0
Post Malone - Cooped Up,320845181,149377.0
The 1975 - About You,320828666,566557.0
Morgan Wallen - Thought You Should Know,319283609,409297.0
Yeat - Out thë way,319256765,432201.0
Omar Apollo - Evergreen (You Didn’t Deserve Me At All),317296294,316554.0
El Chachito - En Paris,317038476,289875.0
Raim Laode - Komang,316740329,254417.0
Shawn Mendes - When You're Gone,316541221,161714.0
Måneskin - THE LONELIEST,316471477,314728.0
Eliza Rose - B.O.T.A. (Baddest Of Them All),314393665,214305.0
Oscar Maydon - Los Collares,314013775,379984.0
Cris Mj - Marisola,312093823,271406.0
Harry Styles - Keep Driving,312091735,112828.0
Jessica Darrow - Surface Pressure,311057655,144275.0
Metro Boomin - Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],310866862,331565.0
MUPP - vendetta!,308908766,201256.0
Alok - Deep Down,307634447,578451.0
Lady Gaga - Hold My Hand,307152703,203955.0
Bad Bunny - Agosto,303819968,208983.0
Kendrick Lamar - Die Hard,303592422,229264.0
LE SSERAFIM - FEARLESS (2023 Ver.),302574713,232866.0
Fuerza Regida - Igualito a Mi Apá,301107102,456810.0
